id,title,audio_path,genre,lyrics
711734,Yall Come Back Saloon,data/audio/Y'all Come Back Saloon [Hmae3bOX_X0].wav,country,"She played tambourine with a silver jingle
And she must have known the words to at least a million tunes
But the one most requested by the man she knew as cowboy
Was the late night benediction at the y'all come back saloon

In a voice soft and trembling
She'd sing her song to cowboy as a smokey halo circled round her raven hair
And all the fallen angels and pinball playing rounders
Stopped the games that they'd been playing for the losers evening prayer

Faded love and faded memories how they linger in her mind
Miles and years played the cowboy like an old melody out of tune and out of time

Every night in the shadows thinking back on Amarillo
He'd dream of better days and ask for faded love
Lifting high his glass in honor of the lady and her song
He paid his check then lonely walked the broken cowboy home

Faded love and faded memories how they linger in her mind
Miles and years played the cowboy like an old melody out of tune and out of time
Faded love and faded memories how they linger in her mind
Miles and years played the cowboy like an old melody out of tune and out of time"
82203,Beers Ago,data/audio/Beers Ago [Hosifr6ycwU].wav,country,"[Verse 1]
I had a hand-me-down ride painted rattle-can red
Second hand tires with poor boy tread
Made a lot of almost love in the bed of that
Truck that got stuck a lot
Just letter jacket boys singing Jerry Jeff songs
Drinking everything we could get our hands on
Learning ‘bout right by doin’ it wrong
Hopin’ we didn’t get caught

[Chorus]
And we spent what little bit of money we had
On Wintergreen Skoal and main street gas
Go get your girl, go make the drag
If you’re lucky you can take her cross the railroad tracks
Where the man in the moon works his magic
On the second runner up of the 4H pageant
Seems like yesterday, even though
That was fourteen hundred and fifty two beers ago
Oh
[Verse 2]
Skipped that town on my birthday
For eighteen years I was headed that way
Where old red stopped I just stayed
In a room without a view
I met a one look girl in a two bit bar
I had a place and she had a car
I won her heart with my guitar
I sang her the homesick blues ‘bout

[Chorus]
Spendin'what little bit of money we had
On Wintergreen Skoal and main street gas
Go get your girl, go make the drag
If you’re lucky you can take her cross the railroad tracks
Where the man in the moon works his magic
On the second runner up of the 4H pageant
Seems like yesterday, even though
That was fifteen hundred and sixty two beers ago
Oh

[Chorus]
And we spent what little bit of money we had
On wintergreen Skoal and main street gas
Go get your girl, go make the drag
If you’re lucky you can take her cross the railroad tracks
Where the man in the moon works his magic
On the second runner up of the 4H pageant
Seems like yesterday, even though
That was sixteen hundred and fifty two beers
Whole lot of highway, whole lot of years
Sixteen hundred and fifty three beers ago
Oh"
445332,Have Mercy,data/audio/What a Friend We Have in Jesus [ttNP-X6z0UU].wav,country,"Have mercy on me, baby
I'm down upon my knees
Have mercy on me, baby
I'll do just as you please
Well, you know that I love you
I'll put no one else above you
Have mercy on me, baby, have mercy

Have mercy on me, baby
Please have a little heart
Have mercy on me, baby
You're tearing me apart
The way that you do me
You know you done got to me
Have mercy on me, baby, have mercy

She's got you hypnotized
And your brain is paralyzed
You know she's only playing with you
Like a puppet on a string
Remember just one thing
She can't love you like I do, no
Have mercy on me, baby
Please give this heart a break
Have mercy on me, baby
I'll do just what it takes
You know you won't regret it
So hey there now, I said it
Have mercy on me, baby, have mercy

Have mercy
Have mercy on me
Have mercy on me, baby
Have mercy on me
Have mercy on me, baby
Please have mercy on me
Mercy"
541844,Memphis in the Meantime,data/audio/Memphis In The Meantime [KxhE-2apvaQ].wav,country,"I got something to say little girl
You might not like my style
But we've been hanging around this town
Just a little too long a while
You say you're gonna get your act together
Gonna take it out on the road
But if I don't get outta here pretty soon
My head's going to explode

Sure I like country music
And I like mandolins
But right now I need a Telecaster
Through a Vibrolux turned up to ten

[Chorus]
Lets go to Memphis in the meantime baby
Memphis in the meantime girl

I need a little shot of that rhythm baby
Mixed up with these country blues
I wanna trade in these old country boots
For some fine Italian shoes
Forget the mousse and the hairspray sugar
We don't need none of that
Just a little dab'll do ya girl
Underneath a pork pie hat

Until hell freezes over
Maybe you can wait that long
But I don't think Ronnie Milsap's gonna ever
Record this song

[Chorus]
Lets go to Memphis in the meantime baby
Memphis in the meantime girl
Lets go to Memphis in the meantime baby
Memphis in the meantime girl

I'm a talking about Memphis
I'm talking about Memphis
Memphis

Maybe there's nothin' happenin' there
Maybe there's somethin' in the air
Before our upper lips get stiff
Maybe we need us a big old whiff

If we could just get off of that beat, little girl
Maybe we could find the groove
At least we can get a decent meal
Down at the Rendezvous
Cause one more heartfelt steel guitar chord
Girl, it's gonna do me in
I need to hear some trumpet and saxophone
You know sound as sweet as sin

And after we get good and greasy
Baby we can come back home
Put the cow horns back on the Cadillac
And change the message on the code-a-phone

But ...

[Chorus]
Lets go to Memphis in the meantime baby
Memphis in the meantime girl
Lets go to Memphis in the meantime baby
Memphis in the meantime girl

I'm a talking about Memphis
I'm talkin' 'bout Memphis
Memphis"
228626,Good Hearted Woman,"data/audio/A Good Hearted Woman (Live at Western Place, Dallas, Texas - September 25, 1974) [xI-KOqRKlcs].wav",country,"[Verse 1]
A long time forgotten
Our dreams had just fell by the way
And the good life he promised
Ain't what she's livin' today
But she never complains of the bad times
Or bad things he's done
Lord, she just talks about the good times they've had
And all the good times to come

[Chorus]
She's a good hearted woman
In love with a good timin' man
She loves him in spite of his ways
That she don't understand
Through teardrops and laughter
They'll pass through this world, hand in hand
A good hearted woman
Lovin' her good timin' man

[Verse 2]
He likes the night life and bright lights
And good timin' friends
When the party's all over
She'll welcome him back home again
Lord knows she don't understand him
But she does the best that she can
'Cause she's a good hearted woman
She loves her good timin' man
[Chorus]
She's a good hearted woman
In love with a good timin' man
And she loves him in spite of his wicked ways
That she don't understand
Through teardrops and laughter
They'll pass through this world, hand in hand
A good hearted woman
Lovin' her good timin' man

[Outro]
She's a good hearted woman
In love with a good timin' man
She loves me in spite of my wicked ways
That she don't understand
Through teardrops and laughter
We'll pass through this world, hand in hand, love
A good hearted woman
Lovin' her good timin' man"
73111,I Walk The Line,data/audio/I Walk the Line [J-6fW66IUY4].wav,country,"[Verse 1]
I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds
Because you're mine, I walk the line

[Verse 2]
I find it very, very easy to be true
I find myself alone when each day is through
Yes, I'll admit that I'm a fool for you
Because you're mine, I walk the line

[Verse 3]
As sure as night is dark and day is light
I keep you on my mind both day and night
And happiness I've known proves that it's right
Because you're mine, I walk the line

[Verse 4]
You've got a way to keep me on your side
You give me cause for love that I can't hide
For you, I know I'd even try to turn the tide
Because you're mine, I walk the line
[Verse 1]
I keep a close watch on this heart of mine
I keep my eyes wide open all the time
I keep the ends out for the tie that binds
Because you're mine, I walk the line"
745576,God  the FBI,data/audio/God & The FBI [LEDpjHUrAs4].wav,country,"[Verse 1]
Mamma's makin' mimeos, Pete's on the stereo
Singing 'bout freedom, bugs in the bedroom
Big investigation—danger to the nation
Search and seizure, better buy a lawyer
""We know you're a member
Saw you under cover
Are you hiding evidence?""
None of this makes any sense

[Chorus]
They called the FBI (FBI)
I had to disappear
Called the T-men, G-men, see-you-at-the-scene men
Told 'em I was hiding here
They could fingerprint my heart
I knew it from the start
Ain't no place for a face to hide
From God and the FBI

[Verse 2]
Commies, pinkos, reds at the windows
Foreign agitators running elevators
J. Edgar Hoover in a pink tutu
Investigating anyone who thinks like a-you
Welcome to the fifties
You look a little shifty
[Chorus]
They called the FBI (FBI)
I had to disappear
They called the T-men, G-men, DNA-the-scene men
Told 'em I was hiding here
They could fingerprint my heart
I knew it from the start
Ain't no hole for a soul to hide
From God and the FBI

[Post-Chorus]
(Ha, ha, ha)

[Verse 3]
Stay flat, don't rat, what's a proletariat?
Stalin was a Democrat—Washington is where it's at
Every politician is a sewer of ambition
Hide me, hide you—better hide the baby too
""We demand an interview
How long have you been a Jew?
We can make you testify
Freedom is no alibi""

[Chorus]
They called the FBI (FBI)
I had to disappear
They called the T-men, G-men, see-you-at-the-scene men
Told 'em I was hiding here
They could fingerprint my heart
I knew it from the start
Ain't no place for a face to hide
From God and the FBI"
315638,Fancy,data/audio/Fancy [I43YvBR_S2c].wav,country,"[Verse 1]
I remember it all very well looking back
It was the summer I turned eighteen
We lived in a one-room, rundown shack
On the outskirts of New Orleans
We didn't have money for food or rent
To say the least, we were hard pressed
Then mama spent every last penny we had
To buy me a dancing dress
Well, Mama washed and combed and curled my hair
Then she painted my eyes and lips (Lips)
Then I stepped into a satin dancing dress
That had a split on the side clean up to my hip
It was red velvet trim and it had fit me good
Well, standing back from the looking glass
There stood a woman where a half-grown kid had stood

[Chorus]
She said, ""Here's your one chance, Fancy, don't let me down""
She said, ""Here's your one chance, Fancy, don't let me down""
[Verse 2]
Mama dabbed a little bit of perfume on my neck
Then she kissed my cheek
And then I saw the tears welling up in her troubled eyes
As she started to speak
She looked at our pitiful shack
And then she looked at me and took a ragged breath
She said, ""Your Pa's runned off and I'm real sick
And the baby's gonna starve to death""
She handed me a heart-shaped locket that said
""To thine own self be true""
And I shivered as I watched a roach crawl across
The toe of my high-heeled shoe
It sounded like somebody else that was talking
Asking Mama, ""What do I do?""
She said, ""Just be nice to the gentlemen, Fancy
They'll be nice to you""

[Chorus]
She said, ""Here's your one chance, Fancy, don't let me down
Here's your one chance, Fancy, don't let me down
Lord, forgive me for what I do
But if you want out, well, it's up to you
Now don't let me down now
Your Mama's gonna move you uptown""
[Verse 3]
Well, that was the last time I saw my Ma
The night I left that rickety shack
The welfare people came and took the baby
Mama died and I ain't been back
But the wheels of fate had started to turn
And for me there was no way out
It wasn't very long until I knew exactly
What my Mama'd been talking about
I knew what I had to do and I made myself this solemn vow
That I was gonna be a lady someday
Though I didn't know when or how
But I couldn't see spending the rest of my life
With my head hung down in shame
You know I might've been born just plain white trash
But Fancy was my name

[Chorus]
She said, ""Here's your one chance, Fancy, don't let me down""
She said, ""Here's your one chance, Fancy, don't let me down""

[Verse 4]
It wasn't long after a benevolent man
Took me in off the streets
And one week later I was pouring his tea
In a five-room hotel suite (Yes, she was)
I charmed a king, congressman
And an occasional aristocrat
Then I got me a Georgia mansion
And an elegant New York townhouse flat
And I ain't done bad (She ain't done bad)
[Verse 5]
Now in this world
There's a lot of self-righteous hypocrites that call me bad
They criticize Mama for turning me out
No matter how little we had
But though I ain't had to worry about nothing
For nigh on fifteen years
Well, I can still hear the desperation
In my poor Mama's voice ringing in my ears

[Chorus]
""Here's your one chance, Fancy, don't let me down
Oh, here's your one chance, Fancy, don't let me down
Lord, forgive me for what I do
But if you want out, well, it's up to you
Now don't let me down, hon'
Your Mama's gonna move you uptown""
Oh, and I guess she did"
317342,Changes in Latitudes Changes in Attitudes,"data/audio/Changes In Latitudes, Changes In Attitudes [Ot3JJ0wv2G0].wav",country,"[Intro]

[Verse 1]
I took off for a weekend last month
Just to try and recall the whole year
All of the faces and all of the places
Wonderin' where they all disappeared

[Pre-Chorus 1]
I didn't ponder the question too long;
I was hungry and went out for a bite
Ran into a chum with a bottle of rum
And we wound up drinkin' all night

[Chorus 1]
It's those changes in latitudes, changes in attitudes
Nothing remains quite the same
With all of our running and all of our cunning
If we couldn't laugh, we would all go insane

[Verse 2]
Reading departure signs in some big airport
Reminds me of the places I've been
Visions of good times that brought so much pleasure
Makes me want to go back again
[Pre-Chorus 2]
If it suddenly ended tomorrow
I could somehow adjust to the fall
Good times and riches and son of a bitches
I've seen more than I can recall

[Chorus 2]
These changes in latitudes, changes in attitudes
Nothing remains quite the same
Through all of the islands and all of the highlands
If we couldn't laugh we would all go insane

[Verse 3]
I think about Paris when I'm high on red wine
I wish I could jump on a plane
And so many nights I just dream of the ocean
God, I wish she was sailin' again

[Pre-Chorus 3]
Oh, yesterdays are over my shoulder
So I can't look back for too long
There's just too much to see waiting in front of me
And I know that I just can't go wrong

[Chorus 3]
With these changes in latitudes, changes in attitudes
Nothing remains quite the same
With all of my running and all of my cunning
If I couldn't laugh I just would go insane
[Post-Chorus]
If we couldn't laugh we just would go insane
If we weren't all crazy we would go insane

[Outro]"
81787,Its Five OClock Somewhere,data/audio/It's Five O'Clock Somewhere [umkixNb1Q1k].wav,country,"[Verse 1: Alan Jackson]
The sun is hot and that old clock is movin' slow
An' so am I
Work day passes like molasses in wintertime
But it's July
I'm gettin' paid by the hour, an' older by the minute
My boss just pushed me over the limit
I'd like to call him somethin'
I think I'll just call it a day

[Chorus: Alan Jackson]
Pour me somethin' tall an' strong
Make it a ""Hurricane"" before I go insane
It's only half-past twelve but I don't care
It's five o'clock somewhere

[Verse 2: Alan Jackson]
Oh, this lunch break is gonna take all afternoon
An' half the night
Tomorrow mornin', I know there'll be hell to pay
Hey, but that's all right
I ain't had a day off now in over a year
Our Jamaican vacation's gonna start right here
If the phone’s for me
You can tell 'em I just sailed away
[Chorus: Alan Jackson]
And pour me somethin' tall an' strong
Make it a ""Hurricane"" before I go insane
It's only half-past twelve but I don't care
It's five o'clock somewhere

[Bridge: Alan Jackson, Jimmy Buffett, Both]
I could pay off my tab, pour myself in a cab
An' be back to work before two
At a moment like this, I can't help but wonder
What would Jimmy Buffett do?
Funny you should ask Alan, I'd say:
""Pour me somethin' tall an' strong
Make it a ""Hurricane"" before I go insane
It's only half-past twelve but I don't care""
Pour me somethin' tall an' strong
Make it a ""Hurricane"" before I go insane
It's only half-past twelve but I don't care
He don't care
I don't care
It's five o'clock somewhere

[Outro: Alan Jackson & Jimmy Buffett]
What time zone am I on? What country am I in?
It doesn't matter, it's five o'clock somewhere
It's always on five in Margaritaville, come to think of it
Yeah, I heard that
You been there haven't you
Yessir
I seen your boat there
I've been to Margaritaville a few times
All right, that's good
Stumbled all the way back
Okay, just wanna make sure you can keep it between the navigational beacons
Ha ha ha, between the buoys, I tell you
All right. Well, it's five o'clock. Let's go somewhere
I'm ready, crank it up
Let's get out of here
I'm gone"
