id,true_genre,beta_vae_kmeans,beta_vae_agglo,beta_vae_dbscan
711734,country,4,1,0
82203,country,4,4,0
445332,country,1,3,0
541844,country,2,0,0
228626,country,2,2,0
73111,country,1,1,0
745576,country,4,4,0
315638,country,3,0,0
317342,country,2,2,0
81787,country,0,1,0
210634,country,2,0,0
452079,country,1,1,0
526112,country,4,4,0
745581,country,2,2,0
566363,country,4,4,0
303761,country,4,2,0
119983,country,0,2,0
336489,country,4,1,0
718397,country,4,2,0
374537,country,2,3,0
61003,country,1,1,0
714000,country,2,2,0
697871,country,2,2,0
710748,country,1,1,0
214547,country,2,2,0
190900,country,0,3,0
60273,country,2,2,0
3774,country,1,1,0
103021,country,4,2,0
715375,country,1,1,0
122644,country,3,0,0
559827,country,2,2,0
144516,country,0,3,0
78309,country,0,1,0
60282,country,2,2,0
520995,country,3,0,0
709842,country,0,3,0
158624,country,0,3,0
712535,country,1,1,0
736633,country,4,3,0
539566,country,3,0,0
230015,country,4,2,0
2504,country,1,1,0
445342,country,2,2,0
119997,country,4,4,0
151451,country,2,0,0
460930,country,0,3,0
97422,country,3,2,0
97424,country,1,1,0
97420,country,4,4,0
710750,country,2,2,0
337085,country,2,2,0
191077,country,4,2,0
78308,country,4,4,0
531746,country,1,1,0
149213,country,0,1,0
97418,country,3,0,0
337194,country,4,2,0
443929,country,4,1,0
868604,country,2,2,0
220475,country,1,1,0
122326,country,2,2,0
709863,country,2,2,0
428436,country,3,2,0
862308,country,2,2,0
135266,country,4,4,0
445325,country,4,2,0
874991,country,4,4,0
280093,country,4,3,0
867141,country,4,4,0
774457,country,3,0,0
211463,country,3,2,0
4462,country,4,2,0
449427,country,2,2,0
667715,country,2,2,0
200388,country,4,1,0
138406,country,2,2,0
453517,country,0,1,0
137226,country,4,2,0
743762,country,2,2,0
50968,country,1,1,0
191638,country,4,2,0
334552,country,1,1,0
494541,country,2,2,0
445341,country,0,1,0
715354,country,2,2,0
743730,country,4,2,0
59820,country,2,2,0
75138,country,2,0,0
664468,country,2,2,0
710749,country,2,2,0
2873,country,0,3,0
81674,country,1,1,0
145558,country,4,4,0
372882,country,4,2,0
714006,country,2,2,0
50148,country,1,1,0
578811,country,4,4,0
2520,country,4,4,0
715277,country,1,1,0
213085,country,4,2,0
203717,country,4,2,0
657066,country,1,1,0
208574,country,4,1,0
658574,country,0,3,0
278034,country,4,2,0
869584,country,3,0,0
449699,country,4,4,0
776863,country,1,1,0
516285,country,4,1,0
155139,country,2,2,0
228873,country,4,1,0
509463,country,0,2,0
220526,country,2,2,0
480603,country,1,1,0
730988,country,4,4,0
89294,country,0,1,0
228700,country,3,2,0
428639,country,0,3,0
128403,country,2,2,0
866601,country,4,1,0
229073,country,2,2,0
289515,country,2,2,0
742840,country,1,1,0
145523,country,2,0,0
120561,country,2,2,0
663633,country,2,2,0
774335,country,2,2,0
2518,country,2,2,0
210663,country,4,4,0
632548,country,2,0,0
559866,country,2,2,0
713988,country,4,4,0
461742,country,1,1,0
422874,country,2,2,0
715274,country,4,2,0
876025,country,4,4,0
87492,country,1,1,0
351476,country,4,2,0
658875,country,4,2,0
76064,country,2,2,0
520991,country,2,0,0
622887,country,4,4,0
111524,rock,4,2,0
54793,rock,3,0,0
108081,rock,0,4,0
192299,rock,2,0,0
577623,rock,0,1,0
3092138,rock,2,2,0
166696,rock,4,4,0
143794,rock,2,2,0
108562,rock,2,2,0
56140,rock,4,2,0
368630,rock,2,2,0
1237,rock,4,3,0
121082,rock,1,1,0
64636,rock,0,3,0
869235,rock,4,4,0
102248,rock,2,2,0
262234,rock,4,2,0
691741,rock,1,1,0
141845,rock,0,3,0
65318,rock,0,1,0
349098,rock,2,3,0
215682,rock,0,3,0
191931,rock,2,2,0
134823,rock,4,2,0
54790,rock,1,1,0
117967,rock,4,2,0
1161,rock,4,4,0
50355,rock,1,1,0
54792,rock,4,4,0
1483,rock,4,4,0
54643,rock,0,1,0
6819293,rock,4,4,0
92399,rock,0,1,0
238665,rock,1,1,0
575138,rock,1,4,0
58873,rock,4,1,0
208665,rock,0,1,0
79192,rock,0,1,0
519897,rock,2,2,0
540525,rock,4,4,0
99915,rock,0,1,0
120169,rock,2,2,0
84118,rock,1,1,0
86043,rock,0,3,0
90013,rock,1,1,0
741332,rock,0,3,0
210678,rock,2,0,0
66663,rock,2,2,0
62557,rock,1,1,0
375929,rock,1,1,0
884772,rock,4,4,0
746105,rock,4,4,0
3253,rock,4,4,0
84421,rock,4,4,0
56577,rock,2,2,0
79172,rock,4,4,0
70252,rock,1,1,0
436505,rock,0,1,0
1394,rock,4,1,0
741330,rock,4,4,0
193981,rock,2,2,0
541999,rock,4,4,0
81639,rock,2,2,0
54294,rock,2,2,0
105987,rock,4,4,0
882570,rock,4,4,0
73033,rock,1,4,0
210633,rock,0,1,0
111652,rock,3,0,0
99039,rock,2,0,0
54794,rock,4,1,0
282477,rock,0,3,0
108080,rock,0,2,0
542037,rock,0,3,0
62556,rock,1,1,0
80735,rock,4,4,0
54784,rock,4,2,0
105955,rock,0,3,0
104549,rock,2,0,0
54418,rock,1,1,0
698698,rock,2,2,0
55299,rock,4,4,0
273984,rock,0,3,0
577625,rock,2,2,0
885255,rock,3,2,0
646768,rock,1,1,0
3603,rock,3,0,0
862792,rock,0,3,0
76009,rock,0,3,0
224,rock,4,4,0
1544,rock,1,1,0
2506,rock,0,3,0
210661,rock,0,3,0
113212,rock,0,3,0
58630,rock,1,1,0
122235,rock,0,1,0
73119,rock,1,1,0
106323,rock,0,3,0
96327,rock,2,2,0
107190,rock,4,4,0
266873,rock,4,4,0
2030,rock,2,2,0
981666,rock,2,2,0
79440,rock,1,1,0
1632,rock,4,4,0
153027,rock,4,4,0
31813,rock,1,1,0
50435,rock,2,2,0
128399,rock,0,3,0
54140,rock,4,4,0
63323,rock,0,3,0
526900,rock,2,2,0
147168,rock,4,4,0
118591,rock,2,2,0
690902,rock,1,1,0
7512947,rock,4,4,0
297306,rock,1,1,0
114632,rock,1,1,0
208924,rock,0,3,0
159031,rock,2,2,0
693077,rock,0,1,0
97708,rock,0,3,0
100069,rock,3,2,0
700017,rock,3,0,0
79947,rock,0,1,0
7513164,rock,1,3,0
87356,rock,4,1,0
270415,rock,4,4,0
54136,rock,0,3,0
126723,rock,1,4,0
