id,true_genre,kmeans_cluster,agglo_cluster
711734,country,0,0
82203,country,0,0
445332,country,0,0
541844,country,0,0
228626,country,0,0
73111,country,0,0
745576,country,0,0
315638,country,0,0
317342,country,0,0
81787,country,0,0
210634,country,0,0
452079,country,0,0
526112,country,0,0
745581,country,0,0
566363,country,0,0
303761,country,0,0
119983,country,0,0
336489,country,0,0
718397,country,0,0
374537,country,0,0
61003,country,0,0
714000,country,0,0
697871,country,0,0
710748,country,0,0
214547,country,0,0
190900,country,0,0
60273,country,0,0
3774,country,0,0
103021,country,0,0
715375,country,0,0
122644,country,0,0
559827,country,0,0
144516,country,2,2
78309,country,0,0
60282,country,0,0
520995,country,0,0
709842,country,0,0
158624,country,0,0
712535,country,0,0
736633,country,0,0
539566,country,0,0
230015,country,0,0
2504,country,0,0
445342,country,0,0
119997,country,0,0
151451,country,0,0
460930,country,0,0
97422,country,0,0
97424,country,0,0
97420,country,0,0
710750,country,0,0
337085,country,0,0
191077,country,0,0
78308,country,0,0
531746,country,0,0
149213,country,0,0
97418,country,0,0
337194,country,0,0
443929,country,2,2
868604,country,0,0
220475,country,0,0
122326,country,0,0
709863,country,0,0
428436,country,0,0
862308,country,0,0
135266,country,0,0
445325,country,0,0
874991,country,0,0
280093,country,0,0
867141,country,0,0
774457,country,0,0
211463,country,0,0
4462,country,0,0
449427,country,0,0
667715,country,0,0
200388,country,0,0
138406,country,0,0
453517,country,0,0
137226,country,0,0
743762,country,0,0
50968,country,0,0
191638,country,0,0
334552,country,0,0
494541,country,0,0
445341,country,0,0
715354,country,0,0
743730,country,0,0
59820,country,0,0
75138,country,0,0
664468,country,0,0
710749,country,0,0
2873,country,0,0
81674,country,0,0
145558,country,0,0
372882,country,0,0
714006,country,0,0
50148,country,0,0
578811,country,0,0
2520,country,0,0
715277,country,0,0
213085,country,0,0
203717,country,0,0
657066,country,0,0
208574,country,0,0
658574,country,0,0
278034,country,0,0
869584,country,0,0
449699,country,0,0
776863,country,0,0
516285,country,0,0
155139,country,0,0
228873,country,0,0
509463,country,0,0
220526,country,0,0
480603,country,0,0
730988,country,0,0
89294,country,0,0
228700,country,0,0
428639,country,0,0
128403,country,0,0
866601,country,0,0
229073,country,0,0
289515,country,0,0
742840,country,0,0
145523,country,0,0
120561,country,0,0
663633,country,0,0
774335,country,0,0
2518,country,0,0
210663,country,0,0
632548,country,0,0
559866,country,0,0
713988,country,0,0
461742,country,0,0
422874,country,0,0
715274,country,0,0
876025,country,0,0
87492,country,0,0
351476,country,0,0
658875,country,0,0
76064,country,0,0
520991,country,0,0
622887,country,0,0
111524,rock,0,0
54793,rock,0,0
108081,rock,0,0
192299,rock,0,0
577623,rock,0,0
3092138,rock,0,0
166696,rock,0,0
143794,rock,0,0
108562,rock,0,0
56140,rock,0,0
368630,rock,0,0
1237,rock,0,0
121082,rock,0,0
64636,rock,0,0
869235,rock,0,0
102248,rock,0,0
262234,rock,0,0
691741,rock,0,0
141845,rock,0,0
65318,rock,0,0
349098,rock,0,0
215682,rock,0,0
191931,rock,0,0
134823,rock,0,0
54790,rock,0,0
117967,rock,0,0
1161,rock,0,0
50355,rock,0,0
54792,rock,0,0
1483,rock,0,0
54643,rock,0,0
6819293,rock,0,0
92399,rock,0,0
238665,rock,0,0
575138,rock,0,0
58873,rock,0,0
208665,rock,0,0
79192,rock,0,0
519897,rock,0,0
540525,rock,0,0
99915,rock,0,0
120169,rock,0,0
84118,rock,0,0
86043,rock,0,0
90013,rock,0,0
741332,rock,0,0
210678,rock,0,0
66663,rock,0,0
62557,rock,0,0
375929,rock,0,0
884772,rock,0,0
746105,rock,0,0
3253,rock,0,0
84421,rock,0,0
56577,rock,0,0
79172,rock,0,0
70252,rock,0,0
436505,rock,0,0
1394,rock,0,0
741330,rock,0,0
193981,rock,0,0
541999,rock,0,0
81639,rock,0,0
54294,rock,0,0
105987,rock,0,0
882570,rock,0,0
73033,rock,0,0
210633,rock,0,0
111652,rock,0,0
99039,rock,0,0
54794,rock,0,0
282477,rock,0,0
108080,rock,0,0
542037,rock,0,0
62556,rock,0,0
80735,rock,0,0
54784,rock,0,0
105955,rock,0,0
104549,rock,0,0
54418,rock,0,0
698698,rock,0,0
55299,rock,0,0
273984,rock,0,0
577625,rock,0,0
885255,rock,0,0
646768,rock,0,0
3603,rock,0,0
862792,rock,0,0
76009,rock,0,0
224,rock,0,0
1544,rock,0,0
2506,rock,0,0
210661,rock,0,0
113212,rock,0,0
58630,rock,0,0
122235,rock,0,0
73119,rock,0,0
106323,rock,0,0
96327,rock,0,0
107190,rock,0,0
266873,rock,0,0
2030,rock,0,0
981666,rock,0,0
79440,rock,0,0
1632,rock,0,0
153027,rock,0,0
31813,rock,0,0
50435,rock,0,0
128399,rock,0,0
54140,rock,0,0
63323,rock,0,0
526900,rock,0,0
147168,rock,0,0
118591,rock,0,0
690902,rock,0,0
7512947,rock,0,0
297306,rock,0,0
114632,rock,0,0
208924,rock,0,0
159031,rock,0,0
693077,rock,0,0
97708,rock,0,0
100069,rock,0,0
700017,rock,0,0
79947,rock,0,0
7513164,rock,0,0
87356,rock,0,0
270415,rock,0,0
54136,rock,0,0
126723,rock,0,0
74304,rock,0,0
662405,rock,0,0
87291,rock,0,0
71389,rock,0,0
259116,rock,0,0
100761,rock,0,0
210698,rock,0,0
223016,rock,0,0
212843,rock,0,0
2415164,rock,0,0
668212,rock,0,0
232537,rock,0,0
105014,rock,0,0
128009,rock,0,0
120569,rock,0,0
442368,rock,0,0
401533,rock,0,0
2352,rock,0,0
359887,rock,0,0
50590,rock,0,0
172574,rock,0,0
132089,rock,0,0
219437,rock,0,0
152169,rock,0,0
111525,rock,0,0
728884,rock,0,0
90842,rock,0,0
2907,rock,0,0
362381,rock,0,0
31963,rock,0,0
200241,rock,0,0
88903,rock,0,0
86317,rock,0,0
95287,rock,0,0
141375,rock,0,0
79891,rock,0,0
71931,rock,0,0
201800,rock,0,0
884877,rock,0,0
3555,rock,0,0
69205,rock,0,0
742606,rock,0,0
86120,rock,0,0
874889,rock,0,0
862646,rock,0,0
50647,rock,0,0
108489,rock,0,0
2770,rock,0,0
1767,rock,0,0
195716,rock,0,0
55302,rock,0,0
215279,rock,0,0
118635,rock,0,0
661190,rock,0,0
108565,rock,0,0
63338,rock,0,0
88410,rock,0,0
136361,rock,0,0
